Most Common Matches (Above 0.05%):
Title:  | Count: 4.631563%
Title: UNIVERSITY OF ILLINOIS AT CHAMPAIGN URBANA | Count: 0.061381%
Title: MAYO CLINIC ROCHESTER | Count: 0.059576%
Title: WAYNE STATE UNIVERSITY | Count: 0.218144%
Title: LOUISIANA STATE UNIVERSITY | Count: 0.268392%
Title: GEORGIA INSTITUTE OF TECHNOLOGY | Count: 0.501881%
Title: UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL | Count: 0.050248%
Title: RENSSELAER POLYTECHNIC INSTITUTE | Count: 0.229878%
Title: SOUTHERN | Count: 0.142621%
Title: UNIVERSITY OF COLORADO | Count: 0.465774%
Title: SPELMAN COLLEGE | Count: 0.051452%
Title: WORLD | Count: 0.065894%
Title: SRI INTERNATIONAL | Count: 0.074319%
Title: HOPKINS JOHNS UNIVERSITY | Count: 0.586731%
Title: UNIVERSITY OF ROCHESTER | Count: 0.234391%
Title: UNIVERSITY OF TOLEDO | Count: 0.074921%
Title: HOWARD UNIVERSITY | Count: 0.162178%
Title: OREGON HEALTH AND SCIENCE UNIVERSITY | Count: 0.059275%
Title: COLORADO STATE UNIVERSITY | Count: 0.257861%
Title: ALLIANCE | Count: 0.122762%
Title: YALE UNIVERSITY | Count: 0.334888%
Title: NATURAL RESOURCES DEFENSE COUNCIL | Count: 0.054461%
Title: ENVIRONMENTAL PROTECTION AGENCY | Count: 0.070107%
Title: BAYLOR COLLEGE OF MEDICINE | Count: 0.142621%
Title: UNIVERSITY OF WYOMING | Count: 0.102603%
Title: UNIVERSITY OF CHICAGO | Count: 0.286746%
Title: HONEYWELL INTERNATIONAL INC | Count: 0.232285%
Title: CARNEGIE MELLON UNIVERSITY | Count: 0.438995%
Title: NATIONAL INSTITUTES OF HEALTH | Count: 0.150745%
Title: UNIVERSITY OF AKRON | Count: 0.094479%
Title: OKLAHOMA STATE UNIVERSITY | Count: 0.141116%
Title: INTEL CORPORATION | Count: 0.078833%
Title: CALIFORNIA INSTITUTE OF TECHNOLOGY | Count: 0.205807%
Title: CLEVELAND CLINIC FOUNDATION | Count: 0.050850%
Title: EMORY UNIVERSITY | Count: 0.222657%
Title: MASSACHUSETTS UNIVERSITY OF  | Count: 0.123665%
Title: DEPARTMENT OF DEFENSE | Count: 0.129983%
Title: KANSAS UNIVERSITY OF | Count: 0.234692%
Title: NORTHWEST AIRLINES | Count: 0.055062%
Title: UNIVERSITY OF NEW MEXICO | Count: 0.276516%
Title: TECHNOLOGY INC | Count: 0.054160%
Title: NEW JERSEY INSTITUTE OF TECHNOLOGY | Count: 0.095682%
Title: UNIVERSITY OF CENTRAL FLORIDA | Count: 0.160975%
Title: STATE UNIVERSITY OF NEW YORK | Count: 0.103204%
Title: MISSISSIPPI STATE UNIVERSITY | Count: 0.126373%
Title: LAWRENCE LIVERMORE NATIONAL LABORATORY | Count: 0.076425%
Title: LOCKHEED MARTIN CORPORATION | Count: 0.160975%
Title: FEDERAL COMMUNICATIONS COMMISSION | Count: 0.080638%
Title: UNIVERSITY OF CALIFORNIA | Count: 1.677148%
Title: LEHIGH UNIVERSITY | Count: 0.145028%
Title: ARINC INCORPORATED | Count: 0.216940%
Title: UNIVERSITY OF MARYLAND | Count: 0.847901%
Title: UNIVERSITY OF MARYLAND UNIVERSITY COLLEGE | Count: 0.096284%
Title: UNIVERSITY OF CONNECTICUT | Count: 0.290958%
Title: PENNSYLVANIA STATE | Count: 0.056567%
Title: CASE WESTERN RESERVE UNIVERSITY | Count: 0.255754%
Title: BOSTON UNIVERSITY | Count: 0.358056%
Title: UNIVERSITY OF MASSACHUSETTS AMHERST | Count: 0.084549%
Title: NORTHWESTERN UNIVERSITY | Count: 0.491951%
Title: UNIVERSITY OF SOUTH CAROLINA | Count: 0.171807%
Title: FORD MOTOR COMPANY | Count: 0.059576%
Title: VIRGINIA TECHNOLOGY | Count: 0.146532%
Title: US DEPARTMENT OF STATE | Count: 0.055664%
Title: WASHINGTON STATE UNIVERSITY | Count: 0.206108%
Title: UNIVERSITY OF MICHIGAN AT ANN | Count: 0.110727%
Title: UNIVERSITY OF HAWAII | Count: 0.176320%
Title: MITRE CORPORATION | Count: 0.323755%
Title: NORTHROP GRUMMAN | Count: 0.051452%
Title: UNIVERSITY OF IDAHO | Count: 0.096284%
Title: UNIVERSITY OF MEMPHIS | Count: 0.071912%
Title: NEVADA UNIVERSITY OF | Count: 0.099594%
Title: WOODS HOLE OCEANOGRAPHIC INSTITUTION | Count: 0.051452%
Title: UNIVERSITY OF IOWA | Count: 0.327065%
Title: HONEYWELL INC | Count: 0.108019%
Title: NORTHERN ARIZONA UNIVERSITY | Count: 0.072514%
Title: DREXEL UNIVERSITY | Count: 0.201595%
Title: UNIVERSITY OF MISSOURI COLUMBIA | Count: 0.092372%
Title: BRANDEIS UNIVERSITY | Count: 0.061080%
Title: GENERAL MOTORS CORPORATION | Count: 0.054762%
Title: UNIVERSITY OF NEW HAMPSHIRE | Count: 0.129382%
Title: PENNSYLVANIA STATE UNIVERSITY | Count: 0.636076%
Title: GEORGIA STATE UNIVERSITY | Count: 0.095381%
Title: A M M A | Count: 0.101700%
Title: MICHIGAN | Count: 0.070408%
Title: TEMPLE UNIVERSITY | Count: 0.111930%
Title: WILLIAM MARSH RICE UNIVERSITY | Count: 0.058673%
Title: UNIVERSITY OF HOUSTON | Count: 0.188055%
Title: NORTH DAKOTA STATE UNIVERSITY | Count: 0.067399%
Title: UNIVERSITY OF SOUTH FLORIDA | Count: 0.249436%
Title: OLD DOMINION UNIVERSITY | Count: 0.095381%
Title: NASA | Count: 0.115541%
Title: MORGAN STATE UNIVERSITY | Count: 0.060178%
Title: UNIVERSITY OF NOTRE DAME | Count: 0.214834%
Title: UNIVERSITY OF FLORIDA | Count: 0.523845%
Title: FLORIDA INTERNATIONAL UNIVERSITY | Count: 0.119753%
Title: UNIVERSITY OF WASHINGTON | Count: 0.791034%
Title: UNIVERSITY OF KENTUCKY | Count: 0.326463%
Title: BOEING COMPANY THE | Count: 0.189559%
Title: US FISH AND WILDLIFE SERVICE | Count: 0.060178%
Title: UNIVERSITY OF MAINE | Count: 0.116744%
Title: UNIVERSITY OF CALIFORNIA DAVIS | Count: 0.188657%
Title: GEORGE MASON UNIVERSITY | Count: 0.223560%
Title: IOWA STATE UNIVERSITY | Count: 0.344215%
Title: UNIVERSITY OF CALIFORNIA BERKELEY | Count: 0.256356%
Title: UNIVERSITY OF TENNESSEE | Count: 0.226267%
Title: WORCESTER POLYTECHNIC INSTITUTE | Count: 0.068301%
Title: UNIVERSITY OF NEW ORLEANS | Count: 0.054762%
Title: MICROSOFT CORPORATION | Count: 0.064691%
Title: MEDICAL UNIVERSITY OF SOUTH CAROLINA | Count: 0.107417%
Title: COLUMBIA UNIVERSITY | Count: 0.435384%
Title: PURDUE UNIVERSITY | Count: 0.594554%
Title: VIRGINIA COMMONWEALTH UNIVERSITY | Count: 0.174816%
Title: WRIGHT STATE UNIVERSITY | Count: 0.067700%
Title: RAYTHEON SYSTEMS COMPANY | Count: 0.126373%
Title: INDIANA UNIVERSITY BLOOMINGTON | Count: 0.065293%
Title: SUNY STONY BROOK | Count: 0.131789%
Title: UNIVERSITY OF ALABAMA | Count: 0.273507%
Title: UNIVERSITY OF NORTH DAKOTA | Count: 0.059275%
Title: ARGONNE NATIONAL LABORATORY | Count: 0.091169%
Title: TEXAS A & M UNIVERSITY | Count: 0.095381%
Title: MOTOROLA INC | Count: 0.075523%
Title: MITRE | Count: 0.107718%
Title: UNIVERSITY OF SOUTH CAROLINA  | Count: 0.076125%
Title: UNIVERSITY OF WASHINGTON SCHOOL OF MEDICINE | Count: 0.058071%
Title: STANFORD UNIVERSITY | Count: 0.481721%
